City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
540,mount gambier,-37.8333,140.7667,14.49,59,20,5.04,AU,1681607243
541,plock,52.5468,19.7064,6.38,96,100,4.06,PL,1681607243
542,waipawa,-41.4122,175.5153,16.66,62,100,5.32,NZ,1681607244
543,ikalamavony,-21.15,46.5833,17.79,86,12,2.46,MG,1681607244
544,sarkand,45.41,79.9186,11.34,69,58,3.3,KZ,1681607245
545,ustka,54.5805,16.8619,8.14,90,100,5.16,PL,1681607246
546,maniitsoq,65.4167,-52.9,-1.48,74,5,2.43,GL,1681607247
547,yumen,40.2833,97.2,18.44,11,4,2.39,CN,1681607248
548,havoysund,70.9963,24.6622,0.13,46,34,1.21,NO,1681607248
549,obo,5.3998,26.4869,20.0,95,100,0.85,CF,1681607250
550,rundu,-17.9333,19.7667,18.81,43,2,3.09,NA,1681607251
551,kosa,59.9445,54.9977,-2.47,80,100,3.8,RU,1681607252
552,chiradzulu,-15.6746,35.1407,15.15,93,99,2.71,MW,1681607253
553,dudinka,69.4058,86.1778,-26.55,86,3,4.49,RU,1681607254
554,kendari,-3.945,122.4989,27.34,85,99,1.0,ID,1681607255
555,gazojak,41.1875,61.4036,12.03,60,0,6.18,TM,1681607255
556,arkansas city,37.062,-97.0384,11.82,54,100,8.23,US,1681607256
557,nago,26.5881,127.9761,24.47,56,53,1.39,JP,1681607257
558,kajiado,-1.8524,36.7768,14.64,96,85,2.85,KE,1681607257
559,santa cruz del sur,20.7147,-77.9956,26.45,73,100,3.41,CU,1681607220
560,luanda,-8.8368,13.2343,26.13,88,100,4.83,AO,1681607259
561,valley city,46.9233,-98.0032,0.29,100,100,7.72,US,1681607246
562,miramar,25.9873,-80.2323,27.22,82,0,4.12,US,1681607259
563,almazar,40.3217,69.0106,16.18,55,73,2.21,UZ,1681607260
